time,value
1637726400,1000.483744
1637730000,680.562523
1637733600,702.67273
1637737200,5413.964381
1637740800,2203.380789
1637744400,3030.671803
1637748000,2810.778502
1637751600,4219.729383
1637755200,924.671677
1637758800,1511.569019
1637762400,21814.661548
1637766000,2075.720647
1637769600,46734.28999
1637773200,1057.599684
1637776800,2101.662785
1637780400,8129.377304
1637784000,2088.754068
1637787600,1296.961068
1637791200,1866.475844
1637794800,898.481967
1637798400,3112.586289
1637802000,1250.532537
1637805600,10108.01897
1637809200,5079.912404
1637812800,654.224473
1637816400,993.259702
1637820000,8860.665185
1637823600,1794.862887
1637827200,2712.662957
1637830800,10460.238453
1637834400,37075.620043
1637838000,5267.403132
1637841600,1697.876105
1637845200,628.31963
1637848800,5863.632728
1637852400,6222.204327
1637856000,1396.192025
1637859600,1675.872744
1637863200,52619.173704
1637866800,1772.142886
1637870400,3306.589373
1637874000,18438.751015
1637877600,820.754529
1637881200,1208.43361
1637884800,2349.950983
1637888400,1967.890294
1637892000,403.275496
1637895600,2199.459459
1637899200,5746.666303
1637902800,224.074114
1637906400,5677.32411
1637910000,1479.818128
1637913600,1003025.390704
1637917200,744.863018
1637920800,203.693662
1637924400,2173.151919
1637928000,431.954478
1637931600,11152.017689
1637935200,2186.492893
1637938800,1584.302133
1637942400,1058.516262
1637946000,33125.334132
1637949600,2398.864704
1637953200,1987.968195
1637956800,3061.981177
1637960400,1383.695077
1637964000,1479.361668
1637967600,147.623096
1637971200,26643.146034
1637974800,45863.638873
1637978400,35739.970181
1637982000,3690.483578
1637985600,2347.893378
1637989200,1160.98104
1637992800,613.64618
1637996400,1565.051905
1638000000,293.954603
1638003600,148.697257
1638007200,379.495599
1638010800,1670.688898
1638014400,3244.645933
1638018000,2080.211346
1638021600,1539.865132
1638025200,901.162152
1638028800,5948.559532
1638032400,1814.383726
1638036000,37467.631044
1638039600,1841.084375
1638043200,755.567764
1638046800,1550.536695
1638050400,1739.6068
1638054000,2347.793787
1638057600,2259.301514
1638061200,1493.177064
1638064800,2470.762915
1638068400,4688.728336
1638072000,1343.275538
1638075600,34659.650833
1638079200,2731.721768
1638082800,487.54318
1638086400,36258.021739
1638090000,1809.589624
1638093600,1185.168828
